filename,split,Tree,Shrub,Grass,Crop,Built-up,Barren,Water,hybrid_gemma3-4b,hybrid_qwen3-vl-8b,text_qwen3-4b,vision_gemma3-4b,vision_qwen3-vl-8b
82094.png,synth,0,0,46,3,0,51,0,"The image depicts a landscape dominated by barren terrain (51%) interspersed with areas of grass (46%) and a small patch of cultivated crops (3%). A network of linear features, likely drainage channels or irrigation systems, cuts across the landscape.","The scene is dominated by barren land (51%), suggesting a dry, arid, or sparsely vegetated landscape, with patches of grass (46%) forming the second largest cover and minimal crop areas (3%) indicating limited agricultural activity. The spatial layout shows a rough, textured terrain with winding linear features, likely natural drainage or erosion patterns, interspersed with small, scattered vegetated zones.","The scene is predominantly barren, covering 51% of the area, with grass making up the next largest portion at 46%. Crop land is minimal at 3%.","This image depicts a desert landscape with extensive, linear drainage channels cutting through a predominantly sandy and rocky terrain. A small settlement and some cultivated land are visible within a valley, suggesting localized agricultural activity in an otherwise arid environment.","This remote sensing image shows a desert landscape dominated by sand dunes and wind-eroded terrain, with a small, isolated settlement or oasis visible near the center, indicating sparse human habitation in an arid environment."
260152.png,synth,58,0,42,0,0,0,0,"The image depicts a landscape dominated by tree cover (58%) interspersed with grassy areas (42%), situated along a prominent, dark river channel. The terrain appears to be hilly or mountainous, with a reddish-brown, possibly barren, surface extending across the lower portion of the scene.","The scene shows a landscape dominated by dense tree cover (58%) in the upper regions, interspersed with patches of grassland (42%) in the lower and mid-elevations, suggesting a mixed forest-grassland terrain with a clear vertical zonation.","The scene is predominantly forested, with trees covering 58% of the area, indicating a forested land use that likely supports natural vegetation and ecosystem services. Grasslands make up a significant but secondary portion, suggesting a mix of woodland and open grassy areas.","This image depicts a region with a mix of forested areas and a wide, meandering river valley, likely a floodplain, surrounded by arid or semi-arid terrain. The presence of the river suggests a significant water source and potentially agricultural or riparian land use along its banks.","This satellite image shows a rugged, mountainous terrain with patches of dense forest and exposed rocky slopes, interspersed with small, scattered settlements or clearings, indicating a sparsely populated, high-altitude region."
78965.png,synth,88,0,12,0,0,0,0,"The image depicts a landscape dominated by dense forest (88%) with a prominent river meandering through it, flanked by a narrow strip of grass (12%). The river appears to have created a series of small, reflective pools within the forested area.","The scene is dominated by dense tree cover (88%), forming a continuous, dark green landscape interrupted only by a winding river and a few small, lighter patches of grassland (12%) along its banks and in scattered clearings.","The scene is primarily forested, with tree cover dominating the landscape at 88%. Grass cover is minimal, indicating a sparse or scattered grassland component within the forested area.","This image depicts a heavily forested mountainous region with a large reservoir created by a dam, indicating significant alteration of the natural landscape for water storage and potential hydroelectric power. The surrounding terrain is characterized by steep slopes and dense vegetation, suggesting a primarily forested land use.","This satellite image shows a winding river cutting through a predominantly forested or mountainous terrain, with a few small, light-colored patches indicating cleared land or settlements along its banks. The river’s meandering course and the surrounding dense greenery suggest a natural, possibly rural or protected, landscape."
286594.png,synth,92,0,8,0,0,0,0,"The image depicts a heavily forested landscape dominated by trees (92%), with a smaller area of grass (8%). A network of meandering water channels, likely streams or rivers, cuts through the forested terrain, suggesting a mountainous or hilly region.","The scene is dominated by dense tree cover (92%), forming a continuous, lush green canopy across rolling terrain, with sparse grassy patches (8%) visible along winding paths and in scattered clearings.","The scene is predominantly forested, with tree cover accounting for 92% of the land use, indicating a dense woodland or forested area. Grass cover is minimal at 8%, suggesting sparse or transitional vegetation.","This image depicts a heavily forested mountainous region with a network of winding rivers and streams cutting through the terrain, suggesting significant areas of intact forest cover and potentially some localized agricultural or settlement activity along the waterways. The undulating terrain and dense vegetation indicate a steep, hilly landscape.","This satellite image shows a rugged, forested mountainous region with dense green vegetation, interspersed with winding roads and small clusters of human settlement, indicating a sparsely populated area where natural terrain dominates land use."
289134.png,synth,62,0,34,3,1,0,0,"The image depicts a landscape dominated by dense forest (62%) interspersed with expansive grassland (34%), with a small area of built-up settlement (1%) visible in the foreground and a limited area of cultivated crops (3%). A prominent river or waterway flows through the central portion of the image, separating the forested areas.","The scene is dominated by dense tree cover (62%) forming large, irregular patches, interspersed with grasslands (34%) and small, scattered crop areas (3%), with a minor built-up zone (1%) visible in the lower right. The spatial layout suggests a rural or semi-rural landscape where natural vegetation largely defines the terrain, with human development confined to a small, localized area.","The scene is predominantly forested, with trees covering 62% of the area, indicating a heavily wooded landscape. Grasslands occupy a significant secondary portion, suggesting natural or semi-natural vegetation, while agricultural and built-up areas are minimal.","This image depicts a region with dense forest cover along a coastline, interspersed with a developed urban area and a sandy beach. A river or channel flows through the landscape, connecting the forest to the coastal plain.","This satellite image shows a river valley with a small, clustered settlement at its base, surrounded by dense, dark green forested hillsides and a lighter-toned riverbed winding through the landscape."
256915.png,synth,0,0,43,55,0,2,0,"The image depicts a landscape dominated by cultivated crops (55%) interspersed with areas of grassland (43%), with a small percentage (2%) of barren land. A prominent, linear drainage channel cuts through the agricultural fields, suggesting a river or wash system within the terrain.","The scene depicts a predominantly agricultural landscape, with crop fields (55%) forming the dominant land use, interspersed with grassland (43%) and small patches of barren land (2%), arranged in a patchwork pattern across the terrain.","The scene is predominantly agricultural, with cropland covering 55% of the area, indicating a major focus on farming activities. Grasslands make up a smaller portion, suggesting some pasture or natural grass cover, while barren areas are minimal.","This image depicts a heavily eroded, arid landscape with extensive gullies and ravines carved into reddish-brown, likely sedimentary, terrain. The area shows evidence of past or present agricultural activity with rectangular fields interspersed among the natural drainage patterns.","This remote sensing image shows a rugged, arid landscape dominated by dry, brown terrain with a prominent, winding riverbed or canyon cutting through it, indicating a desert or semi-arid environment with sparse vegetation and significant topographic relief."
158009.png,synth,0,0,65,0,0,35,0,"The image depicts a landscape dominated by extensive grasslands (65%) interspersed with barren areas (35%), characterized by a prominent, deeply incised river valley and associated rugged terrain.","The scene depicts a predominantly grass-covered landscape, with grass dominating 65% of the area in a patchy, textured pattern, interspersed with 35% of barren, rugged terrain that appears as darker, more irregularly shaped patches, suggesting a semi-arid or mountainous environment with sparse vegetation.","The scene is predominantly grass-covered, indicating a large area of natural or managed pasture, with a smaller portion of barren land.","This image depicts a rugged, arid landscape characterized by extensive canyons and mesas, likely representing a desert or semi-arid region with minimal vegetation cover. The terrain suggests significant erosion and geological processes have shaped the land over time.","This satellite image shows a rugged, arid landscape dominated by mountainous terrain with steep slopes and deep valleys, likely in a desert or semi-arid region. Sparse vegetation and winding riverbeds or dry channels are visible, indicating low water availability and minimal human development."
82267.png,synth,0,0,7,90,1,2,0,"The image depicts a landscape dominated by cultivated crops (90%), with a small area of grass (7%) and minimal built-up areas (1%). A linear feature, likely a drainage canal or irrigation channel, bisects the agricultural fields, and a small portion of barren land (2%) is visible along the bottom edge.","The scene is dominated by vast, patchwork crop fields (90%), interspersed with small areas of grass (7%) and barren land (2%), with minimal built-up areas (1%) visible as isolated structures along linear roads.","The scene is predominantly agricultural, with 90% of the area covered by crops, indicating a large-scale farming landscape. Grass covers a small portion, suggesting limited natural pasture or field margins.","This image depicts an agricultural landscape characterized by numerous small, irregularly shaped fields, likely used for crop cultivation. A prominent linear feature, possibly a canal or irrigation channel, bisects the area, suggesting a reliance on water management for agricultural production.","This satellite image shows a patchwork of agricultural fields in a dry, arid region, characterized by varied soil tones and geometric crop patterns, bisected by a prominent linear road or riverbed. The landscape suggests intensive farming in a semi-arid environment with limited vegetation."
160889.png,synth,10,0,77,9,2,2,0,"The image depicts a landscape dominated by extensive grassland (77%), interspersed with scattered trees (10%) and a small area of cultivated crops (9%). A thin band of built-up area (2%) and barren land (2%) is visible along a river channel, suggesting a riparian zone and potentially agricultural activity.","The scene depicts a predominantly grass-covered landscape (77%) with scattered patches of tree cover (10%) and small areas of crop fields (9%), interspersed with minimal built-up (2%) and barren (2%) zones, suggesting a rural or semi-rural setting with agricultural activity. A prominent linear feature, likely a road or river, cuts horizontally across the image, dividing the terrain.","The scene is predominantly grassland, covering 77% of the area, with minor contributions from crops, trees, and built-up regions.","This image depicts a semi-arid landscape with a prominent river meandering through a network of canyons and valleys, suggesting agricultural land use along the riverbanks and sparse vegetation in the surrounding terrain. A wide, light-colored sand or gravel deposit forms a band across the upper portion of the image, likely a coastal feature or alluvial fan.","This satellite image shows a rugged, mountainous terrain with a prominent river or valley cutting through the landscape, characterized by patchwork patterns of agriculture or forest cover. A straight, light-colored linear feature, likely a road or railway, runs horizontally across the scene, contrasting with the natural topography."
104765.png,synth,54,7,36,0,2,1,0,"The image depicts a landscape dominated by dense tree cover (54%) interspersed with areas of grass (36%) and scattered shrubbery (7%), with a small area of built-up land (2%) and barren ground (1%). A network of linear features, likely roads or waterways, cuts through the terrain, connecting the forested areas to the developed zone.","The scene is dominated by dense tree cover (54%) interspersed with grasslands (36%), forming a largely natural landscape, with small, scattered built-up areas (2%) and minor barren patches (1%) indicating limited human development and sparse arid zones.","The scene is dominated by forest cover, with trees accounting for 54% of the land use, indicating a predominantly wooded area. Grasslands make up a significant portion at 36%, suggesting a mix of forest and open vegetation.","The image depicts a landscape dominated by agricultural fields and forested areas, with a network of rivers and streams flowing through the terrain. Several rectangular structures, likely buildings or infrastructure, are situated within the agricultural zone, suggesting a developed area within a rural setting.","This satellite image shows a small settlement nestled in a valley, surrounded by patchwork agricultural fields and dense forested areas, with a winding river or stream flowing through the landscape."
